date,All_sky_ii
1987-01-01,0.68
1987-01-02,1.43
1987-01-03,2.24
1987-01-04,2.18
1987-01-05,3.03
1987-01-06,2.63
1987-01-07,2.26
1987-01-08,3.07
1987-01-09,3.15
1987-01-10,1.1
1987-01-11,1.94
1987-01-12,3.1
1987-01-13,3.09
1987-01-14,2.41
1987-01-15,1.23
1987-01-16,1.82
1987-01-17,1.72
1987-01-18,0.75
1987-01-19,0.71
1987-01-20,2.0
1987-01-21,2.63
1987-01-22,0.44
1987-01-23,2.84
1987-01-24,3.2
1987-01-25,1.28
1987-01-26,2.36
1987-01-27,3.3
1987-01-28,3.11
1987-01-29,2.52
1987-01-30,2.41
1987-01-31,2.8
1987-02-01,1.18
1987-02-02,2.4
1987-02-03,2.28
1987-02-04,3.77
1987-02-05,3.18
1987-02-06,3.03
1987-02-07,3.44
1987-02-08,2.54
1987-02-09,3.49
1987-02-10,3.41
1987-02-11,3.91
1987-02-12,1.34
1987-02-13,4.45
1987-02-14,1.9
1987-02-15,4.36
1987-02-16,0.84
1987-02-17,1.79
1987-02-18,3.55
1987-02-19,4.9
1987-02-20,4.36
1987-02-21,2.37
1987-02-22,1.7
1987-02-23,3.9
1987-02-24,4.2
1987-02-25,4.78
1987-02-26,3.4
1987-02-27,1.53
1987-02-28,0.67
1987-03-01,1.83
1987-03-02,4.44
1987-03-03,4.1
1987-03-04,3.44
1987-03-05,3.61
1987-03-06,5.17
1987-03-07,5.26
1987-03-08,2.56
1987-03-09,1.7
1987-03-10,4.99
1987-03-11,5.17
1987-03-12,4.54
1987-03-13,5.49
1987-03-14,5.19
1987-03-15,1.48
1987-03-16,2.42
1987-03-17,6.0
1987-03-18,5.34
1987-03-19,5.29
1987-03-20,5.83
1987-03-21,5.85
1987-03-22,4.1
1987-03-23,6.46
1987-03-24,6.05
1987-03-25,2.23
1987-03-26,6.4
1987-03-27,4.39
1987-03-28,4.13
1987-03-29,5.39
1987-03-30,1.5
1987-03-31,2.91
1987-04-01,6.72
1987-04-02,3.29
1987-04-03,0.95
1987-04-04,2.42
1987-04-05,2.16
1987-04-06,2.89
1987-04-07,4.53
1987-04-08,6.48
1987-04-09,6.1
1987-04-10,6.98
1987-04-11,4.29
1987-04-12,2.43
1987-04-13,5.57
1987-04-14,4.69
1987-04-15,0.79
1987-04-16,0.97
1987-04-17,1.73
1987-04-18,2.76
1987-04-19,3.51
1987-04-20,5.26
1987-04-21,5.17
1987-04-22,6.54
1987-04-23,2.3
1987-04-24,0.76
1987-04-25,1.43
1987-04-26,7.86
1987-04-27,6.35
1987-04-28,4.72
1987-04-29,8.05
1987-04-30,8.28
1987-05-01,7.36
1987-05-02,5.86
1987-05-03,5.3
1987-05-04,1.28
1987-05-05,7.09
1987-05-06,7.94
1987-05-07,7.75
1987-05-08,6.8
1987-05-09,8.2
1987-05-10,7.7
1987-05-11,6.97
1987-05-12,5.83
1987-05-13,3.48
1987-05-14,4.69
1987-05-15,2.92
1987-05-16,7.88
1987-05-17,8.39
1987-05-18,7.19
1987-05-19,1.4
1987-05-20,1.37
1987-05-21,3.93
1987-05-22,6.3
1987-05-23,5.8
1987-05-24,5.52
1987-05-25,1.57
1987-05-26,1.72
1987-05-27,3.06
1987-05-28,6.75
