date,Claer_sky_ii
1987-01-01,2.87
1987-01-02,2.92
1987-01-03,2.99
1987-01-04,3.02
1987-01-05,3.1
1987-01-06,3.06
1987-01-07,3.02
1987-01-08,3.11
1987-01-09,3.15
1987-01-10,2.97
1987-01-11,2.55
1987-01-12,3.16
1987-01-13,3.24
1987-01-14,3.21
1987-01-15,2.96
1987-01-16,3.18
1987-01-17,3.31
1987-01-18,3.13
1987-01-19,3.13
1987-01-20,3.41
1987-01-21,3.52
1987-01-22,3.37
1987-01-23,3.63
1987-01-24,3.71
1987-01-25,3.55
1987-01-26,3.57
1987-01-27,3.9
1987-01-28,3.84
1987-01-29,3.73
1987-01-30,3.72
1987-01-31,3.84
1987-02-01,3.74
1987-02-02,3.75
1987-02-03,3.85
1987-02-04,4.01
1987-02-05,4.02
1987-02-06,4.16
1987-02-07,3.82
1987-02-08,4.03
1987-02-09,3.68
1987-02-10,4.22
1987-02-11,4.07
1987-02-12,4.14
1987-02-13,4.49
1987-02-14,4.45
1987-02-15,4.63
1987-02-16,4.63
1987-02-17,4.36
1987-02-18,4.41
1987-02-19,4.98
1987-02-20,4.88
1987-02-21,4.77
1987-02-22,4.72
1987-02-23,4.72
1987-02-24,5.12
1987-02-25,5.24
1987-02-26,5.01
1987-02-27,4.97
1987-02-28,4.98
1987-03-01,4.2
1987-03-02,4.77
1987-03-03,4.75
1987-03-04,5.18
1987-03-05,5.43
1987-03-06,5.57
1987-03-07,5.34
1987-03-08,5.14
1987-03-09,5.29
1987-03-10,5.67
1987-03-11,5.93
1987-03-12,5.57
1987-03-13,5.75
1987-03-14,6.01
1987-03-15,5.82
1987-03-16,5.93
1987-03-17,6.13
1987-03-18,6.29
1987-03-19,6.13
1987-03-20,5.83
1987-03-21,5.89
1987-03-22,4.33
1987-03-23,6.46
1987-03-24,6.25
1987-03-25,6.31
1987-03-26,6.4
1987-03-27,5.18
1987-03-28,6.36
1987-03-29,5.93
1987-03-30,6.25
1987-03-31,6.37
1987-04-01,6.82
1987-04-02,6.52
1987-04-03,6.58
1987-04-04,6.53
1987-04-05,6.74
1987-04-06,6.69
1987-04-07,6.68
1987-04-08,6.49
1987-04-09,6.55
1987-04-10,6.98
1987-04-11,6.99
1987-04-12,6.58
1987-04-13,6.95
1987-04-14,7.06
1987-04-15,6.96
1987-04-16,6.98
1987-04-17,7.1
1987-04-18,7.09
1987-04-19,6.8
1987-04-20,6.04
1987-04-21,6.87
1987-04-22,6.85
1987-04-23,7.43
1987-04-24,7.4
1987-04-25,7.47
1987-04-26,7.96
1987-04-27,7.81
1987-04-28,6.52
1987-04-29,8.1
1987-04-30,8.28
1987-05-01,7.85
1987-05-02,7.21
1987-05-03,6.33
1987-05-04,7.66
1987-05-05,7.98
1987-05-06,8.18
1987-05-07,7.75
1987-05-08,8.17
1987-05-09,8.2
1987-05-10,7.72
1987-05-11,6.97
1987-05-12,7.47
1987-05-13,7.79
1987-05-14,7.84
1987-05-15,7.6
1987-05-16,8.03
1987-05-17,8.39
1987-05-18,7.7
1987-05-19,7.9
1987-05-20,8.01
1987-05-21,7.91
1987-05-22,7.47
1987-05-23,7.59
1987-05-24,7.07
1987-05-25,7.91
1987-05-26,7.95
1987-05-27,8.13
1987-05-28,7.52
1987-05-29,7.76
1987-05-30,6.31
1987-05-31,7.85
1987-06-01,6.71
1987-06-02,6.73
1987-06-03,7.26
1987-06-04,7.74
1987-06-05,8.66
1987-06-06,7.87
1987-06-07,7.44
1987-06-08,7.51
1987-06-09,7.13
1987-06-10,8.26
1987-06-11,8.12
1987-06-12,7.79
1987-06-13,7.82
1987-06-14,7.09
1987-06-15,7.78
1987-06-16,7.84
1987-06-17,7.8
1987-06-18,7.17
1987-06-19,6.91
1987-06-20,6.18
1987-06-21,7.76
1987-06-22,6.89
1987-06-23,7.25
1987-06-24,7.65
1987-06-25,8.35
1987-06-26,7.76
1987-06-27,7.24
1987-06-28,7.32
1987-06-29,7.61
